experiment,instance,dataset,size_category,n,m,graph_density,graph_components,consistency_check,timeout_used,max_nodes_limit,max_edges_limit,golden_standard,method,treedepth,time,status,timeout,preprocessing_enabled,encoding_variant,mipstart_enabled,lazy_constraints_enabled,gurobi_presolve,problem_variables,problem_constraints,gurobi_objval,gurobi_mip_gap,gurobi_node_count,preprocessing_reduction,memory_usage_mb,is_correct,validation_status,error_type
E4_6_ilp_vs_sat_unified,Desargues,famous,SMALL,20,30,0.1579,1,consistent,1200,50,10000,9,ILP,9,1190.312,timeout,True,False,v5_enhanced_constraints,False,False,2,841,9154,9,0.0,0,0.0,0.0,False,error,timeout_not_optimal
E4_6_ilp_vs_sat_unified,Desargues,famous,SMALL,20,30,0.1579,1,consistent,1200,50,10000,9,SAT,9,16.321,optimal,False,False,sat_original_paper,False,False,0,1890,38300,9,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Diamond,famous,TINY,4,5,0.8333,1,consistent,1200,50,10000,3,ILP,3,0.003,optimal,False,False,v5_enhanced_constraints,False,False,2,41,131,3,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Diamond,famous,TINY,4,5,0.8333,1,consistent,1200,50,10000,3,SAT,3,2.417,optimal,False,False,sat_original_paper,False,False,0,30,144,3,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Dodecahedron,famous,SMALL,20,30,0.1579,1,consistent,1200,50,10000,9,ILP,9,1190.418,timeout,True,False,v5_enhanced_constraints,False,False,2,841,9154,9,0.0,0,0.0,0.0,False,error,timeout_not_optimal
E4_6_ilp_vs_sat_unified,Dodecahedron,famous,SMALL,20,30,0.1579,1,consistent,1200,50,10000,9,SAT,9,14.475,optimal,False,False,sat_original_paper,False,False,0,1890,38300,9,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Durer,famous,SMALL,12,18,0.2727,1,consistent,1200,50,10000,7,ILP,7,1.779,optimal,False,False,v5_enhanced_constraints,False,False,2,313,2178,7,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Durer,famous,SMALL,12,18,0.2727,1,consistent,1200,50,10000,7,SAT,7,5.646,optimal,False,False,sat_original_paper,False,False,0,546,6780,7,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Errera,famous,SMALL,17,45,0.3309,1,consistent,1200,50,10000,10,ILP,10,29.553,optimal,False,False,v5_enhanced_constraints,False,False,2,613,5785,10,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Errera,famous,SMALL,17,45,0.3309,1,consistent,1200,50,10000,10,SAT,10,15.992,optimal,False,False,sat_original_paper,False,False,0,1530,26837,10,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,FlowerSnark,famous,SMALL,20,30,0.1579,1,consistent,1200,50,10000,9,ILP,9,1190.33,timeout,True,False,v5_enhanced_constraints,False,False,2,841,9154,9,0.0,0,0.0,0.0,False,error,timeout_not_optimal
E4_6_ilp_vs_sat_unified,FlowerSnark,famous,SMALL,20,30,0.1579,1,consistent,1200,50,10000,9,SAT,9,16.67,optimal,False,False,sat_original_paper,False,False,0,1890,38300,9,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Folkman,famous,SMALL,20,40,0.2105,1,consistent,1200,50,10000,9,ILP,9,733.835,optimal,False,False,v5_enhanced_constraints,False,False,2,841,9164,9,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Folkman,famous,SMALL,20,40,0.2105,1,consistent,1200,50,10000,9,SAT,9,14.209,optimal,False,False,sat_original_paper,False,False,0,1890,38460,9,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Franklin,famous,SMALL,12,18,0.2727,1,consistent,1200,50,10000,7,ILP,7,1.523,optimal,False,False,v5_enhanced_constraints,False,False,2,313,2178,7,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Franklin,famous,SMALL,12,18,0.2727,1,consistent,1200,50,10000,7,SAT,7,5.857,optimal,False,False,sat_original_paper,False,False,0,546,6780,7,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Frucht,famous,SMALL,12,18,0.2727,1,consistent,1200,50,10000,6,ILP,6,0.728,optimal,False,False,v5_enhanced_constraints,False,False,2,313,2178,6,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Frucht,famous,SMALL,12,18,0.2727,1,consistent,1200,50,10000,6,SAT,6,6.356,optimal,False,False,sat_original_paper,False,False,0,468,5808,6,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Goldner,famous,SMALL,11,27,0.4909,1,consistent,1200,50,10000,5,ILP,5,0.06,optimal,False,False,v5_enhanced_constraints,False,False,2,265,1726,5,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Goldner,famous,SMALL,11,27,0.4909,1,consistent,1200,50,10000,5,SAT,5,6.402,optimal,False,False,sat_original_paper,False,False,0,330,3857,5,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Grotzsch,famous,SMALL,11,20,0.3636,1,consistent,1200,50,10000,7,ILP,7,0.777,optimal,False,False,v5_enhanced_constraints,False,False,2,265,1719,7,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Grotzsch,famous,SMALL,11,20,0.3636,1,consistent,1200,50,10000,7,SAT,7,5.011,optimal,False,False,sat_original_paper,False,False,0,462,5333,7,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Herschel,famous,SMALL,11,18,0.3273,1,consistent,1200,50,10000,5,ILP,5,0.183,optimal,False,False,v5_enhanced_constraints,False,False,2,265,1717,5,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Herschel,famous,SMALL,11,18,0.3273,1,consistent,1200,50,10000,5,SAT,5,6.645,optimal,False,False,sat_original_paper,False,False,0,330,3785,5,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Hoffman,famous,SMALL,16,32,0.2667,1,consistent,1200,50,10000,8,ILP,8,13.01,optimal,False,False,v5_enhanced_constraints,False,False,2,545,4866,8,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Hoffman,famous,SMALL,16,32,0.2667,1,consistent,1200,50,10000,8,SAT,8,8.339,optimal,False,False,sat_original_paper,False,False,0,1088,17872,8,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Moser,famous,TINY,7,11,0.5238,1,consistent,1200,50,10000,5,ILP,5,0.033,optimal,False,False,v5_enhanced_constraints,False,False,2,113,516,5,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Moser,famous,TINY,7,11,0.5238,1,consistent,1200,50,10000,5,SAT,5,2.89,optimal,False,False,sat_original_paper,False,False,0,140,1075,5,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Nauru,famous,MEDIUM,24,36,0.1304,1,consistent,1200,50,10000,10,ILP,10,1190.653,timeout,True,False,v5_enhanced_constraints,False,False,2,1201,15450,10,0.0,0,0.0,0.0,False,error,timeout_not_optimal
E4_6_ilp_vs_sat_unified,Nauru,famous,MEDIUM,24,36,0.1304,1,consistent,1200,50,10000,10,SAT,10,85.897,optimal,False,False,sat_original_paper,False,False,0,3000,72672,10,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Paley13,famous,SMALL,13,39,0.5,1,consistent,1200,50,10000,10,ILP,10,6.141,optimal,False,False,v5_enhanced_constraints,False,False,2,365,2737,10,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Paley13,famous,SMALL,13,39,0.5,1,consistent,1200,50,10000,10,SAT,10,5.447,optimal,False,False,sat_original_paper,False,False,0,910,12545,10,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Pappus,famous,SMALL,18,27,0.1765,1,consistent,1200,50,10000,8,ILP,8,62.013,optimal,False,False,v5_enhanced_constraints,False,False,2,685,6780,8,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Pappus,famous,SMALL,18,27,0.1765,1,consistent,1200,50,10000,8,SAT,8,10.482,optimal,False,False,sat_original_paper,False,False,0,1368,25020,8,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Petersen,famous,TINY,10,15,0.3333,1,consistent,1200,50,10000,6,ILP,6,0.315,optimal,False,False,v5_enhanced_constraints,False,False,2,221,1324,6,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Petersen,famous,TINY,10,15,0.3333,1,consistent,1200,50,10000,6,SAT,6,4.806,optimal,False,False,sat_original_paper,False,False,0,330,3460,6,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Pmin,famous,TINY,9,12,0.3333,1,consistent,1200,50,10000,5,ILP,5,0.075,optimal,False,False,v5_enhanced_constraints,False,False,2,181,996,5,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Pmin,famous,TINY,9,12,0.3333,1,consistent,1200,50,10000,5,SAT,5,4.918,optimal,False,False,sat_original_paper,False,False,0,225,2130,5,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Poussin,famous,SMALL,15,39,0.3714,1,consistent,1200,50,10000,9,ILP,9,6.099,optimal,False,False,v5_enhanced_constraints,False,False,2,481,4068,9,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Poussin,famous,SMALL,15,39,0.3714,1,consistent,1200,50,10000,9,SAT,9,7.352,optimal,False,False,sat_original_paper,False,False,0,1080,16839,9,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Prism,famous,TINY,6,9,0.6,1,consistent,1200,50,10000,5,ILP,5,0.031,optimal,False,False,v5_enhanced_constraints,False,False,2,85,348,5,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Prism,famous,TINY,6,9,0.6,1,consistent,1200,50,10000,5,SAT,5,2.43,optimal,False,False,sat_original_paper,False,False,0,105,708,5,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Robertson,famous,SMALL,19,38,0.2222,1,consistent,1200,50,10000,10,ILP,10,83.646,optimal,False,False,v5_enhanced_constraints,False,False,2,761,7917,10,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Robertson,famous,SMALL,19,38,0.2222,1,consistent,1200,50,10000,10,SAT,10,28.119,optimal,False,False,sat_original_paper,False,False,0,1900,36803,10,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Shrikhande,famous,SMALL,16,48,0.4,1,consistent,1200,50,10000,11,ILP,11,29.63,optimal,False,False,v5_enhanced_constraints,False,False,2,545,4882,11,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Shrikhande,famous,SMALL,16,48,0.4,1,consistent,1200,50,10000,11,SAT,11,23.922,optimal,False,False,sat_original_paper,False,False,0,1496,24912,11,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Sousselier,famous,SMALL,16,27,0.225,1,consistent,1200,50,10000,8,ILP,8,7.413,optimal,False,False,v5_enhanced_constraints,False,False,2,545,4861,8,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Sousselier,famous,SMALL,16,27,0.225,1,consistent,1200,50,10000,8,SAT,8,8.312,optimal,False,False,sat_original_paper,False,False,0,1088,17802,8,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Tietze,famous,SMALL,12,18,0.2727,1,consistent,1200,50,10000,7,ILP,7,1.701,optimal,False,False,v5_enhanced_constraints,False,False,2,313,2178,7,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Tietze,famous,SMALL,12,18,0.2727,1,consistent,1200,50,10000,7,SAT,7,5.588,optimal,False,False,sat_original_paper,False,False,0,546,6780,7,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Wagner,famous,TINY,8,12,0.4286,1,consistent,1200,50,10000,6,ILP,6,0.113,optimal,False,False,v5_enhanced_constraints,False,False,2,145,730,6,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Wagner,famous,TINY,8,12,0.4286,1,consistent,1200,50,10000,6,SAT,6,3.178,optimal,False,False,sat_original_paper,False,False,0,216,1856,6,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,3x3-grid,standard,TINY,9,12,0.3333,1,consistent,1200,50,10000,5,ILP,5,0.065,optimal,False,False,v5_enhanced_constraints,False,False,2,181,996,5,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,3x3-grid,standard,TINY,9,12,0.3333,1,consistent,1200,50,10000,5,SAT,5,4.772,optimal,False,False,sat_original_paper,False,False,0,225,2130,5,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,4x4-grid,standard,SMALL,16,24,0.2,1,consistent,1200,50,10000,7,ILP,7,8.426,optimal,False,False,v5_enhanced_constraints,False,False,2,545,4858,7,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,4x4-grid,standard,SMALL,16,24,0.2,1,consistent,1200,50,10000,7,SAT,7,9.012,optimal,False,False,sat_original_paper,False,False,0,952,15536,7,0.0,0,0.0,0.0,True,correct_optimal,
