experiment,instance,dataset,size_category,n,m,graph_density,graph_components,consistency_check,timeout_used,max_nodes_limit,max_edges_limit,golden_standard,method,treedepth,time,status,timeout,preprocessing_enabled,encoding_variant,mipstart_enabled,lazy_constraints_enabled,gurobi_presolve,problem_variables,problem_constraints,gurobi_objval,gurobi_mip_gap,gurobi_node_count,preprocessing_reduction,memory_usage_mb,is_correct,validation_status,error_type
E4_6_ilp_vs_sat_unified_fixed,Frucht,famous,SMALL,12,18,0.2727,1,inconsistent,1200,15,10000,6,ILP,6,1.113,optimal,False,False,v5_enhanced_constraints,False,False,2,313,2178,6,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified_fixed,Frucht,famous,SMALL,12,18,0.2727,1,inconsistent,1200,15,10000,6,SAT,6,7.601,optimal,False,False,sat_original_paper,False,False,0,468,5808,6,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified_fixed,Frucht,famous,SMALL,12,18,0.2727,1,inconsistent,1200,15,10000,6,SAT-TREE,2,1.864,optimal,False,False,sat_tree_structure_fixed,False,False,0,709,5065,2,0.0,0,0.0,0.0,False,error,underestimate
E4_6_ilp_vs_sat_unified_fixed,Goldner,famous,SMALL,11,27,0.4909,1,inconsistent,1200,15,10000,5,ILP,5,0.194,optimal,False,False,v5_enhanced_constraints,False,False,2,265,1726,5,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified_fixed,Goldner,famous,SMALL,11,27,0.4909,1,inconsistent,1200,15,10000,5,SAT,5,7.619,optimal,False,False,sat_original_paper,False,False,0,330,3857,5,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified_fixed,Goldner,famous,SMALL,11,27,0.4909,1,inconsistent,1200,15,10000,5,SAT-TREE,2,1.986,optimal,False,False,sat_tree_structure_fixed,False,False,0,595,3984,2,0.0,0,0.0,0.0,False,error,underestimate
E4_6_ilp_vs_sat_unified_fixed,Grotzsch,famous,SMALL,11,20,0.3636,1,inconsistent,1200,15,10000,7,ILP,7,1.226,optimal,False,False,v5_enhanced_constraints,False,False,2,265,1719,7,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified_fixed,Grotzsch,famous,SMALL,11,20,0.3636,1,inconsistent,1200,15,10000,7,SAT,7,5.558,optimal,False,False,sat_original_paper,False,False,0,462,5333,7,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified_fixed,Grotzsch,famous,SMALL,11,20,0.3636,1,inconsistent,1200,15,10000,7,SAT-TREE,2,1.782,optimal,False,False,sat_tree_structure_fixed,False,False,0,595,3959,2,0.0,0,0.0,0.0,False,error,underestimate
E4_6_ilp_vs_sat_unified_fixed,Herschel,famous,SMALL,11,18,0.3273,1,inconsistent,1200,15,10000,5,ILP,5,0.365,optimal,False,False,v5_enhanced_constraints,False,False,2,265,1717,5,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified_fixed,Herschel,famous,SMALL,11,18,0.3273,1,inconsistent,1200,15,10000,5,SAT,5,7.171,optimal,False,False,sat_original_paper,False,False,0,330,3785,5,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified_fixed,Herschel,famous,SMALL,11,18,0.3273,1,inconsistent,1200,15,10000,5,SAT-TREE,2,1.704,optimal,False,False,sat_tree_structure_fixed,False,False,0,595,3957,2,0.0,0,0.0,0.0,False,error,underestimate
E4_6_ilp_vs_sat_unified_fixed,Moser,famous,TINY,7,11,0.5238,1,inconsistent,1200,15,10000,5,ILP,5,0.07,optimal,False,False,v5_enhanced_constraints,False,False,2,113,516,5,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified_fixed,Moser,famous,TINY,7,11,0.5238,1,inconsistent,1200,15,10000,5,SAT,5,3.68,optimal,False,False,sat_original_paper,False,False,0,140,1075,5,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified_fixed,Moser,famous,TINY,7,11,0.5238,1,inconsistent,1200,15,10000,5,SAT-TREE,2,1.749,optimal,False,False,sat_tree_structure_fixed,False,False,0,239,1118,2,0.0,0,0.0,0.0,False,error,underestimate
E4_6_ilp_vs_sat_unified_fixed,Paley13,famous,SMALL,13,39,0.5,1,inconsistent,1200,15,10000,10,ILP,10,9.676,optimal,False,False,v5_enhanced_constraints,False,False,2,365,2737,10,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified_fixed,Paley13,famous,SMALL,13,39,0.5,1,inconsistent,1200,15,10000,10,SAT,10,6.065,optimal,False,False,sat_original_paper,False,False,0,910,12545,10,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified_fixed,Paley13,famous,SMALL,13,39,0.5,1,inconsistent,1200,15,10000,10,SAT-TREE,2,1.791,optimal,False,False,sat_tree_structure_fixed,False,False,0,833,6384,2,0.0,0,0.0,0.0,False,error,underestimate
E4_6_ilp_vs_sat_unified_fixed,Petersen,famous,TINY,10,15,0.3333,1,inconsistent,1200,15,10000,6,ILP,6,0.497,optimal,False,False,v5_enhanced_constraints,False,False,2,221,1324,6,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified_fixed,Petersen,famous,TINY,10,15,0.3333,1,inconsistent,1200,15,10000,6,SAT,6,5.389,optimal,False,False,sat_original_paper,False,False,0,330,3460,6,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified_fixed,Petersen,famous,TINY,10,15,0.3333,1,inconsistent,1200,15,10000,6,SAT-TREE,2,1.952,optimal,False,False,sat_tree_structure_fixed,False,False,0,491,3021,2,0.0,0,0.0,0.0,False,error,underestimate
E4_6_ilp_vs_sat_unified_fixed,Pmin,famous,TINY,9,12,0.3333,1,inconsistent,1200,15,10000,5,ILP,5,0.157,optimal,False,False,v5_enhanced_constraints,False,False,2,181,996,5,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified_fixed,Pmin,famous,TINY,9,12,0.3333,1,inconsistent,1200,15,10000,5,SAT,5,5.396,optimal,False,False,sat_original_paper,False,False,0,225,2130,5,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified_fixed,Pmin,famous,TINY,9,12,0.3333,1,inconsistent,1200,15,10000,5,SAT-TREE,2,1.68,optimal,False,False,sat_tree_structure_fixed,False,False,0,397,2245,2,0.0,0,0.0,0.0,False,error,underestimate
E4_6_ilp_vs_sat_unified_fixed,Poussin,famous,SMALL,15,39,0.3714,1,inconsistent,1200,15,10000,9,ILP,9,10.168,optimal,False,False,v5_enhanced_constraints,False,False,2,481,4068,9,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified_fixed,Poussin,famous,SMALL,15,39,0.3714,1,inconsistent,1200,15,10000,9,SAT,9,8.318,optimal,False,False,sat_original_paper,False,False,0,1080,16839,9,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified_fixed,Poussin,famous,SMALL,15,39,0.3714,1,inconsistent,1200,15,10000,9,SAT-TREE,2,2.018,optimal,False,False,sat_tree_structure_fixed,False,False,0,1111,9610,2,0.0,0,0.0,0.0,False,error,underestimate
E4_6_ilp_vs_sat_unified_fixed,Prism,famous,TINY,6,9,0.6,1,inconsistent,1200,15,10000,5,ILP,5,0.069,optimal,False,False,v5_enhanced_constraints,False,False,2,85,348,5,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified_fixed,Prism,famous,TINY,6,9,0.6,1,inconsistent,1200,15,10000,5,SAT,5,2.774,optimal,False,False,sat_original_paper,False,False,0,105,708,5,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified_fixed,Prism,famous,TINY,6,9,0.6,1,inconsistent,1200,15,10000,5,SAT-TREE,2,1.872,optimal,False,False,sat_tree_structure_fixed,False,False,0,175,733,2,0.0,0,0.0,0.0,False,error,underestimate
E4_6_ilp_vs_sat_unified_fixed,Tietze,famous,SMALL,12,18,0.2727,1,inconsistent,1200,15,10000,7,ILP,7,2.573,optimal,False,False,v5_enhanced_constraints,False,False,2,313,2178,7,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified_fixed,Tietze,famous,SMALL,12,18,0.2727,1,inconsistent,1200,15,10000,7,SAT,7,6.956,optimal,False,False,sat_original_paper,False,False,0,546,6780,7,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified_fixed,Tietze,famous,SMALL,12,18,0.2727,1,inconsistent,1200,15,10000,7,SAT-TREE,2,1.959,optimal,False,False,sat_tree_structure_fixed,False,False,0,709,5065,2,0.0,0,0.0,0.0,False,error,underestimate
E4_6_ilp_vs_sat_unified_fixed,Wagner,famous,TINY,8,12,0.4286,1,inconsistent,1200,15,10000,6,ILP,6,0.167,optimal,False,False,v5_enhanced_constraints,False,False,2,145,730,6,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified_fixed,Wagner,famous,TINY,8,12,0.4286,1,inconsistent,1200,15,10000,6,SAT,6,4.041,optimal,False,False,sat_original_paper,False,False,0,216,1856,6,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified_fixed,Wagner,famous,TINY,8,12,0.4286,1,inconsistent,1200,15,10000,6,SAT-TREE,2,1.956,optimal,False,False,sat_tree_structure_fixed,False,False,0,313,1617,2,0.0,0,0.0,0.0,False,error,underestimate
E4_6_ilp_vs_sat_unified_fixed,3x3-grid,standard,TINY,9,12,0.3333,1,inconsistent,1200,15,10000,5,ILP,5,0.165,optimal,False,False,v5_enhanced_constraints,False,False,2,181,996,5,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified_fixed,3x3-grid,standard,TINY,9,12,0.3333,1,inconsistent,1200,15,10000,5,SAT,5,6.13,optimal,False,False,sat_original_paper,False,False,0,225,2130,5,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified_fixed,3x3-grid,standard,TINY,9,12,0.3333,1,inconsistent,1200,15,10000,5,SAT-TREE,2,2.101,optimal,False,False,sat_tree_structure_fixed,False,False,0,397,2245,2,0.0,0,0.0,0.0,False,error,underestimate
